"행정구역시도코드","가구총소득구간코드","피곤함정도코드","삶만족도코드","(주행동시간량_921) 출근","(주행동시간량_922) 퇴근"
11,,1,3,0,10
11,,1,3,0,10
11,,1,3,0,20
11,,1,3,0,30
11,,1,3,0,30
11,,1,3,0,40
11,,1,3,0,50
11,,1,3,0,80
11,,1,3,0,90
11,,1,3,10,0
11,,1,3,10,0
11,,1,3,10,10
11,,1,3,10,10
11,,1,3,10,10
11,,1,3,10,10
11,,1,3,10,10
11,,1,3,10,10
11,,1,3,10,20
11,,1,3,10,20
11,,1,3,10,20
11,,1,3,10,70
11,,1,3,10,80
11,,1,3,100,80
11,,1,3,110,100
11,,1,3,110,110
11,,1,3,110,120
11,,1,3,110,80
11,,1,3,110,80
11,,1,3,140,100
11,,1,3,20,0
11,,1,3,20,0
11,,1,3,20,0
11,,1,3,20,10
11,,1,3,20,20
11,,1,3,20,20
11,,1,3,20,20
11,,1,3,20,20
11,,1,3,20,20
11,,1,3,20,20
11,,1,3,20,30
11,,1,3,20,30
11,,1,3,20,30
11,,1,3,20,30
11,,1,3,20,40
11,,1,3,20,40
11,,1,3,30,0
11,,1,3,30,10
11,,1,3,30,10
11,,1,3,30,10
11,,1,3,30,100
11,,1,3,30,20
11,,1,3,30,20
11,,1,3,30,20
11,,1,3,30,30
11,,1,3,30,30
11,,1,3,30,30
11,,1,3,30,30
11,,1,3,30,30
11,,1,3,30,30
11,,1,3,30,30
11,,1,3,30,30
11,,1,3,30,30
11,,1,3,30,30
11,,1,3,30,30
11,,1,3,30,40
11,,1,3,30,40
11,,1,3,30,40
11,,1,3,30,40
11,,1,3,30,40
11,,1,3,30,40
11,,1,3,30,40
11,,1,3,30,40
11,,1,3,30,40
11,,1,3,30,40
11,,1,3,30,40
11,,1,3,30,40
11,,1,3,30,40
11,,1,3,30,50
11,,1,3,30,50
11,,1,3,30,50
11,,1,3,30,50
11,,1,3,30,50
11,,1,3,30,60
11,,1,3,30,60
11,,1,3,30,60
11,,1,3,30,60
11,,1,3,30,80
11,,1,3,30,90
11,,1,3,40,0
11,,1,3,40,0
11,,1,3,40,0
11,,1,3,40,0
11,,1,3,40,120
11,,1,3,40,180
11,,1,3,40,30
11,,1,3,40,40
11,,1,3,40,40
11,,1,3,40,40
11,,1,3,40,40
11,,1,3,40,40
11,,1,3,40,40
11,,1,3,40,50
11,,1,3,40,50
11,,1,3,40,50
11,,1,3,40,60
11,,1,3,40,70
11,,1,3,50,0
11,,1,3,50,30
11,,1,3,50,40
11,,1,3,50,40
11,,1,3,50,50
11,,1,3,50,50
11,,1,3,50,50
11,,1,3,50,50
11,,1,3,50,50
11,,1,3,50,50
11,,1,3,50,60
11,,1,3,50,60
11,,1,3,50,60
11,,1,3,50,60
11,,1,3,50,60
11,,1,3,50,60
11,,1,3,50,60
11,,1,3,50,70
11,,1,3,50,70
11,,1,3,50,90
11,,1,3,60,0
11,,1,3,60,0
11,,1,3,60,0
11,,1,3,60,10
11,,1,3,60,110
11,,1,3,60,130
11,,1,3,60,20
11,,1,3,60,30
11,,1,3,60,40
11,,1,3,60,40
11,,1,3,60,50
11,,1,3,60,50
11,,1,3,60,50
11,,1,3,60,50
11,,1,3,60,50
11,,1,3,60,60
11,,1,3,60,60
11,,1,3,60,60
11,,1,3,60,60
11,,1,3,60,60
11,,1,3,60,60
11,,1,3,60,60
11,,1,3,60,60
11,,1,3,60,80
11,,1,3,60,80
11,,1,3,70,0
11,,1,3,70,20
11,,1,3,70,30
11,,1,3,70,50
11,,1,3,70,60
11,,1,3,70,70
11,,1,3,70,80
11,,1,3,70,90
11,,1,3,80,10
11,,1,3,80,100
11,,1,3,80,110
11,,1,3,80,110
11,,1,3,80,120
11,,1,3,80,40
11,,1,3,80,60
11,,1,3,80,60
11,,1,3,80,70
11,,1,3,80,70
11,,1,3,90,100
11,,1,3,90,100
11,,1,3,90,130
11,,1,3,90,30
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,0
11,,1,4,0,10
